data;label
1,50;altura
1,51;altura
1,52;altura
1,53;altura
1,54;altura
1,55;altura
1.56;altura
1.57;altura
1.58;altura
1.59;altura
1.60;altura
1.61;altura
162;altura
163;altura
164;altura
165;altura
166;altura
167;altura
168;altura
1.69;altura
1.70;altura
1.71;altura
1.72;altura
1.73;altura
1,74;altura
1,75;altura
1,76;altura
1,77;altura
1,78;altura
1,79;altura
1,80;altura
181;altura
182;altura
183;altura
184;altura
185;altura
186;altura
1,87;altura
1,88;altura
1,89;altura
1,90;altura
1,91;altura
1,92;altura
1,93;altura
1,94;altura
1.95;altura
1.96;altura
1.97;altura
1.98;altura
1.99;altura
2.00;altura
30;peso
31;peso
32;peso
33;peso
34;peso
35;peso
39;peso
41;peso
42;peso
43;peso
44;peso
45;peso
46;peso
50;peso
51;peso
52;peso
53;peso
54;peso
58;peso
59;peso
62;peso
63;peso
64;peso
65;peso
66;peso
70;peso
71;peso
72;peso
73;peso
74;peso
79;peso
80;peso
81;peso
82;peso
83;peso
85;peso
86;peso
87;peso
88;peso
89;peso
90;peso
91;peso
92;peso
93;peso
94;peso
95;peso
96;peso
97;peso
98;peso
99;peso
100;peso
aceite de pescado;alergia
baguettes;alergia
batidos;alergia
bolleria;alergia
cacao en polvo;alergia
caldos concentrados de pescado;alergia
caldos deshidratados;alergia
caldos o consomes clarificados con huevo;alergia
Caramelos;alergia
cereales;alergia
chocolate con leche y sin leche;alergia
cocidos y otras conservas;alergia
cremas;alergia
cremas de cacao;alergia
cremas para ensaladas;alergia
crustaceos;alergia
cuajadas;alergia
Cubitos de caldo;alergia
derivados carnicos;alergia
empanadas - empanadillas;alergia
fabadas;alergia
Fiambres;alergia
Flanes;alergia
galletas;alergia
guisos con frutos secos;alergia
guisos con pescado;alergia
Harinas de pescado;alergia
helados;alergia
hojaldres;alergia
horchatas;alergia
huevos y derivados;alergia
jamon york;alergia
leche de almendras;alergia
leche fermentada;alergia
lecitina de soja;alergia
legumbres;alergia
mantequillas;alergia
margarina que no sea  vegetgal 100%;alergia
Mayonesas y otras salsas;alergia
mazapan;alergia
merengue;alergia
moluscos;alergia
natillas;alergia
palitos de cangrejo.;alergia
pan de hamburguesa;alergia
Pan de molde;alergia
pan horneado con clara de huevo;alergia
Pan rallado con clara de huevo;alergia
papillas;alergia
pasta de almendras;alergia
pastas al huevo;alergia
pastas de semola.;alergia
pasteleria;alergia
pates;alergia
Pescados;alergia
polvorones;alergia
potitos;alergia
Productos enriquecidos con omega 3;alergia
productos enriquecidos con omega 6;alergia
queso;alergia
Rebozados y empanados con huevo;alergia
salchichas comerciales;alergia
Sopas;alergia
sopas de sobre;alergia
suero de leche;alergia
surimi;alergia
Todos los frutos secos;alergia
Turrones;alergia
yogures;alergia
zumos;alergia
aceite de girasol;alimento
aceite de higado de bacalao;alimento
aceite de maiz;alimento
aceite de oliva;alimento
aceitunas;alimento
acelgas;alimento
aguacate;alimento
akcaparras;alimento
albaricoque;alimento
alcachofas;alimento
almejas;alimento
angulas;alimento
arroz;alimento
atun;alimento
avena;alimento
azucar;alimento
bacaladilla;alimento
bacalao;alimento
bacon;alimento
bananas;alimento
berberecho;alimento
berro;alimento
besugi;alimento
bogabante;alimento
bonito;alimento
boqueron ;alimento
caballa;alimento
calabacin;alimento
calabaza;alimento
calamar;alimento
cebolla;alimento
cerdo;alimento
cerezas;alimento
chirimoya;alimento
cigala;alimento
ciruelas;alimento
cochinillo;alimento
codorniz;alimento
col;alimento
congrejo;alimento
cordero;alimento
cortezas de trigo;alimento
dorada;alimento
endivias;alimento
escarola;alimento
espinacas;alimento
faisan;alimento
fresas;alimento
fritos de maiz;alimento
frutos rojos;alimento
gallina;alimento
gambas;alimento
garbanzos;alimento
guisantes;alimento
huevo;alimento
judias;alimento
kiwi;alimento
leche de cabra;alimento
leche de oveja;alimento
leche de vaca;alimento
lechuga;alimento
lenguado;alimento
lentejas;alimento
lubina;alimento
maïz;alimento
mandarina;alimento
mango;alimento
mantequilla;alimento
margarina;alimento
mejillones;alimento
melon;alimento
miel;alimento
naranja;alimento
ostras;alimento
palometa;alimento
palomitas;alimento
pasas;alimento
patatas asadas;alimento
patatas cocidas;alimento
patatas fritas;alimento
pato;alimento
pavo;alimento
pera;alimento
percebes;alimento
pescadilla;alimento
pez espada;alimento
pez gallo;alimento
piña;alimento
platanos;alimento
pollo;alimento
puerros;alimento
pulpo;alimento
queso;alimento
rape;alimento
repollo;alimento
rodaballo;alimento
salmon;alimento
sandia;alimento
sardina;alimento
sepia;alimento
setas;alimento
soja;alimento
ternera;alimento
tomate;alimento
toro;alimento
trigo;alimento
trucha;alimento
uvas;alimento
vaca;alimento
hipertension;enfermedad
obesidad;enfermedad
diabetes;enfermedad
cancer;enfermedad
osteoporosis;enfermedad
acidez gastrica;enfermedad
hepatitis;enfermedad
reuma;enfermedad
colesterol alto;enfermedad
colesterol bajo;enfermedad
ansiedad;enfermedad
estres;enfermedad
candidiasis;enfermedad
perder peso;objetivo
ganar peso;objetivo
tener una dieta saludable;objetivo
